User_Id,User_Name,Platform,State,Region,Date,Followers,Likes,Shares,Views,Comments,Content_Id,Revenue_Source,Revenue
4LEgw9YooJ,Vidur Kannan,Twitter / X,Mizoram,Unknown,16-12-2020,856662,9071,49846,4468663,2060,hDIq2AnHTmt9,Consultancy,4381562.74
BpdbIKaRde,Saira Sharaf,Twitter / X,Mizoram,Unknown,17-02-2022,250565,36500,43842,4071951,3510,HS2JpDzfOvz1,Sponsorship,6733972.11
gyv1plBArp,Eshani Agarwal,Twitter / X,Rajasthan,West,04-09-2023,54045,85477,35427,123797,1528,50kEnydx9qWC,Patrion,6966218.44
9ISjs8JHUd,Oorja Sibal,Youtube,Telangana,South,28-09-2023,557926,20635,3727,4259974,1312,0ee1z6JJcfOJ,Consultancy,9347127.87
PtqiOC56aM,Bhavin Kapur,Youtube,Gujarat,West,18-02-2020,224508,66307,17380,1111126,5718,22wjZRL9OaYs,Sponsorship,9389361.11
q3UjrnvQ0F,Aarna Bose,Facebook,Chhattisgarh,Central,21-02-2020,445151,36265,2889,29743,5464,VNqTIAae24HZ,Guest Appearance,5525698.44
ht3X13npgW,Ivana Mall,Snapchat,Maharashtra,West,05-12-2024,971733,31029,10649,1485222,6755,bTu5X1YqWg21,Collaboration,1996528.73
vY2nOyreVv,Arhaan Baral,Youtube,Manipur,Unknown,27-11-2023,563262,43404,1808,967556,4279,l7qgATtLFxJp,Patrion,17911.09
HSUPwePut0,Ehsaan Gill,Facebook,Uttar Pradesh,North,22-05-2024,429231,42753,26371,2480135,9083,hA6P3MsHarAJ,Consultancy,4650416.91
PFX7TOrPMf,Yashvi Walia,Instagram,Manipur,Unknown,26-04-2022,209802,19313,1600,387668,4011,9LVC2JSxyjQ3,Sponsorship,7784425.65
k7Gdp0CXP9,Krish Lad,Youtube,Haryana,North,20-08-2022,855596,94276,33081,3579760,8976,Bj1BU0rWEoBS,Collaboration,2717879.36
3ejxjnzuCd,Ayesha Barman,Snapchat,Karnataka,South,23-10-2023,21480,75456,24928,4001196,96,6sy3ZHTX3EqE,Patrion,3361959.31
XS058H4KPf,Damini Sawhney,Snapchat,Sikkim,East,06-08-2021,53727,34099,24844,2746033,3467,Cu2r6AZDUd7n,Sponsorship,7812549.26
cbp0MoDh6C,Lavanya Keer,Facebook,Rajasthan,West,20-03-2022,637745,98032,47078,960771,2683,7gbtP7ySeQMg,Consultancy,8503082.1
XXJcHPeOaA,Rasha Chaudry,Snapchat,Punjab,North,12-07-2020,667459,60258,46354,1283382,7135,kGOM5WCZKtp5,Consultancy,8816430.21
UJPuEuEvqr,Ritvik Joshi,Youtube,Haryana,North,01-09-2022,542722,25042,5610,2024641,6658,EVQOEXfnQsKD,Guest Appearance,3438230.18
IvCtoStU6Q,Nirvaan Bajwa,Instagram,Telangana,South,16-12-2021,290930,94972,38639,4400973,9777,rgmolaHr8IRh,Patrion,1026773.88
JDBld6DYye,Kanav Rattan,Twitter / X,Andhra Pradesh,South,26-03-2021,591180,39824,5582,2081976,1940,IzKMWx4sKAJd,Sponsorship,9475954.41
MqfoIjzQDc,Abram Ray,Facebook,Gujarat,West,28-12-2022,477086,9329,45048,1958100,4334,WMO5AHO4Zekt,Guest Appearance,9212004.1
hQR6FEecAt,Yasmin Chandra,Facebook,Manipur,Unknown,08-02-2020,708053,75392,38477,174025,4415,JVkGBr9BY8Dz,Consultancy,6701664.96
jzEPyVcfph,Kashvi Gokhale,Snapchat,West Bengal,East,22-01-2024,912597,71118,30276,3466571,888,lwUMVmI5BRh8,Guest Appearance,7993338.02
jIIf94ChZE,Onkar Johal,Facebook,Tamil Nadu,South,09-12-2024,436673,63242,30947,2044563,7483,Ix5F21rWz5FY,Consultancy,7260783.78
K9EjHvIHCt,Kashvi Deep,Instagram,Uttarakhand,North,13-10-2021,245907,53841,2860,2669056,7749,RYxPY8EcFK12,Patrion,998017.27
ai18eWqMye,Kaira Som,Facebook,Manipur,Unknown,11-07-2024,658246,94203,49768,4093200,8864,ceN59UAgN2BR,Sponsorship,460863.7
dwApzQlkLx,Suhana Tiwari,Instagram,Uttar Pradesh,North,05-10-2023,244467,60443,41805,2130516,7529,paX3QjBvKNAp,Consultancy,1992970.77
0gxwsRbZya,Abram Shetty,Twitter / X,Madhya Pradesh,Central,16-12-2024,874294,37512,15081,2955482,3588,NMQSOZM4OtBJ,Collaboration,902243.62
uzmW2wFqk4,Ahana  Sama,Snapchat,Jharkhand,East,28-12-2022,356168,15095,30692,631656,2306,UnPPy0Ifyqhw,Consultancy,5846016.36
NxPDM6uLON,Jayant Gade,Snapchat,Uttarakhand,North,14-11-2022,123343,18320,2971,312157,4986,9hoHyx6RHKT2,Sponsorship,8337097.14
z6cwB61gQH,Nayantara Devi,Facebook,Punjab,North,09-07-2020,200028,16011,29800,769012,3475,NLbWphJeVmn1,Consultancy,7743911.41
3a1iipkOba,Aniruddh Vohra,Instagram,Uttar Pradesh,North,01-06-2024,183710,34782,3434,1063327,6897,GUDWFgF6cW1G,Patrion,6433763.5
dDyQE4efLe,Mamooty Dube,Facebook,Andhra Pradesh,South,19-11-2024,575993,93343,21311,3195257,9787,GCLgR0OVSnBo,Consultancy,8274364.83
zfAPxj5eZf,Ayesha Keer,Twitter / X,Madhya Pradesh,Central,18-03-2022,63894,76869,36804,4711741,5400,Pz26A4drtgFj,Patrion,2243224.45
vIhroAIVMP,Indrans Chaudhuri,Youtube,Bihar,East,22-10-2020,870752,90894,17527,242876,2955,qV5vliOeT8fG,Patrion,4198905.11
jtu6K2jUdf,Armaan Khosla,Snapchat,Karnataka,South,20-08-2023,464516,54287,17902,1808323,8394,hArQEPcyLasn,Collaboration,7641844.8
uaUkxRFZXe,Taran Anand,Twitter / X,Jharkhand,East,15-01-2023,966908,10205,20516,4829817,7033,JRzhbuXMZ5f0,Collaboration,4357329.59
